mileage,date,color,insurance,price,link,price_toman
۴۰۰۰۰۰,۱۳۸۶ - ۲۰۰۷,سفید,10,790000000,https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D9%81%D9%88%D8%B1%DB%8C-%DA%A9%DB%8C%D8%A7-%D8%B1%DB%8C%D9%88-%D9%85%D9%88%D9%86%D8%AA%D8%A7%DA%98-%D8%AF%D9%86%D8%AF%D9%87-%D8%A7%DB%8C-%D8%B3%D9%81%DB%8C%D8%AF/gamB-qbG?tracker_session_id=4ce83edc-1647-48f4-a691-a8834a3c4fa2_gamB-qbG_N,"790,000,000.0 تومان"
۱۳۶۰۰۰,۲۰۱۳,قهوه‌ای,,,https://divar.ir/v/%DA%A9%DB%8C%D8%A7-%D8%B1%DB%8C%D9%88-%D8%B3%D8%AF%D8%A7%D9%86-%D8%AE%D9%84%DB%8C%D8%AC-%D9%86%DB%8C%D9%85-%D9%81%D9%88%D9%84/gaoRWItR?tracker_session_id=4ce83edc-1647-48f4-a691-a8834a3c4fa2_gaoRWItR_N,
۱۰۰۰۰۰,۲۰۱۵,سفید,,,https://divar.ir/v/%DA%A9%DB%8C%D8%A7-%D8%B1%DB%8C%D9%88-%D8%B3%D8%AF%D8%A7%D9%86-%DB%B2%DB%B0%DB%B1%DB%B5/galxwsLB?tracker_session_id=4ce83edc-1647-48f4-a691-a8834a3c4fa2_galxwsLB_N,
۳۷۲۰۰۰,۲۰۰۸,سفید,10,710000000,https://divar.ir/v/%DA%A9%DB%8C%D8%A7-%D8%B1%DB%8C%D9%88/galV7SP3?tracker_session_id=4ce83edc-1647-48f4-a691-a8834a3c4fa2_galV7SP3_N,"710,000,000.0 تومان"
۱۶۰۰۰۰,۱۳۹۰ - ۲۰۱۱,سفید,3,1130000000,https://divar.ir/v/%DA%A9%DB%8C%D8%A7-%D8%B1%DB%8C%D9%88-%D9%85%D9%88%D9%86%D8%AA%D8%A7%DA%98-%DB%B9%DB%B0-%D8%B3%D9%81%DB%8C%D8%AF-abs-%DA%A9%D9%85-%DA%A9%D8%A7%D8%B1/gall7wmD?tracker_session_id=4ce83edc-1647-48f4-a691-a8834a3c4fa2_gall7wmD_N,"1,130,000,000.0 تومان"
۱۵۰۰۰۰,۱۳۹۱ - ۲۰۱۲,سفید,5,1100000000,https://divar.ir/v/%DA%A9%DB%8C%D8%A7-%D8%B1%DB%8C%D9%88/gamdRhz0?tracker_session_id=4ce83edc-1647-48f4-a691-a8834a3c4fa2_gamdRhz0_N,"1,100,000,000.0 تومان"
۱۷۰۰۰۰,۲۰۱۵,طوسی,3,2300000000000,https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%DA%A9%DB%8C%D8%A7-%D8%B1%DB%8C%D9%88-%D9%BE%D9%84%D8%A7%DA%A9-%D8%AF%D8%A7%D8%A6%D9%85-%D9%85%D9%86%D8%B7%D9%82%D9%87/galJ1Jq2?tracker_session_id=4ce83edc-1647-48f4-a691-a8834a3c4fa2_galJ1Jq2_N,"2,300,000,000,000.0 تومان"
۳۰۰۰۰۰,۱۳۸۷ - ۲۰۰۸,سفید,6,890000000,https://divar.ir/v/%D8%B1%DB%8C%D9%88-%D8%AA%D9%85%DB%8C%D8%B2-%D9%88-%D8%A7%D8%B3%D8%AA%D8%AB%D9%86%D8%A7%DB%8C%DB%8C/gam5QQPi?tracker_session_id=4ce83edc-1647-48f4-a691-a8834a3c4fa2_gam5QQPi_N,"890,000,000.0 تومان"
۴۸۰۰۰,۱۳۹۰ - ۲۰۱۱,سفید,12,1470000000,https://divar.ir/v/%DA%A9%DB%8C%D8%A7-%D8%B1%DB%8C%D9%88-%D9%85%D8%AF%D9%84-%DB%B9%DB%B0-%D8%A7%D8%B3%D8%AA%D8%AB%D9%86%D8%A7%DB%8C%DB%8C/gamxRF1B?tracker_session_id=4ce83edc-1647-48f4-a691-a8834a3c4fa2_gamxRF1B_N,"1,470,000,000.0 تومان"
۲۳۰۰۰۰,۱۳۸۷ - ۲۰۰۸,نقره‌ای,2,890000000,https://divar.ir/v/%DA%A9%DB%8C%D8%A7-%D8%B1%DB%8C%D9%88-87/gal5dqrZ?tracker_session_id=4ce83edc-1647-48f4-a691-a8834a3c4fa2_gal5dqrZ_N,"890,000,000.0 تومان"
۳۱۷۱۷۵,۱۳۸۸ - ۲۰۰۹,نقره‌ای,9,790000000,https://divar.ir/v/%D8%B1%DB%8C%D9%88-%D9%85%D8%AF%D9%84-%DB%B8%DB%B8/gallO0At?tracker_session_id=4ce83edc-1647-48f4-a691-a8834a3c4fa2_gallO0At_N,"790,000,000.0 تومان"
۱۳۰۰۰۰,۱۳۹۳ - ۲۰۱۴,مشکی,6,2730000000,https://divar.ir/v/%DA%A9%DB%8C%D8%A7-%D8%B1%DB%8C%D9%88-%DB%B2%DB%B0%DB%B1%DB%B4/galduxdz?tracker_session_id=4ce83edc-1647-48f4-a691-a8834a3c4fa2_galduxdz_N,"2,730,000,000.0 تومان"
